title, link, date
Remaja Hanyut di Sungai Banjir Kanal Timur Semarang,https://news.detik.com/berita-jawa-tengah/d-3747289/remaja-hanyut-di-sungai-banjir-kanal-timur-semarang,DETIKNEWS | Selasa 28 November 2017| 21:36 WIB
Pengacara Bantah Jasriadi Curi Identitas untuk Sebar Hate Speech,https://news.detik.com/berita/d-3747294/pengacara-bantah-jasriadi-curi-identitas-untuk-sebar-hate-speech,DETIKNEWS | Selasa 28 November 2017| 21:34 WIB
Begini Rekondisi Bus DAMRI Era Anak Zaman Old di Bandung,https://news.detik.com/berita-jawa-barat/d-3747286/begini-rekondisi-bus-damri-era-anak-zaman-old-di-bandung,DETIKNEWS | Selasa 28 November 2017| 21:23 WIB
Pertama Kali! Kaesang Ngevlog Bareng Gibran di Pernikahan Kahiyang,https://news.detik.com/berita/d-3747273/pertama-kali-kaesang-ngevlog-bareng-gibran-di-pernikahan-kahiyang,DETIKNEWS | Selasa 28 November 2017| 21:15 WIB
Luhut: Warga Bali yang Menolak Mengungsi akan Dievakuasi Paksa,https://news.detik.com/berita/d-3747252/luhut-warga-bali-yang-menolak-mengungsi-akan-dievakuasi-paksa,DETIKNEWS | Selasa 28 November 2017| 21:06 WIB
73 TGUPP Bakal Seruangan dengan Anies-Sandi| Emang Cukup| Pak?,https://news.detik.com/detiktv/d-3747248/73-tgupp-bakal-seruangan-dengan-anies-sandi-emang-cukup-pak,DETIKNEWS | Selasa 28 November 2017| 20:57 WIB
Diwakili Menko Puan| Indonesia Teken 6 MoU dengan Tiongkok,https://news.detik.com/berita-jawa-tengah/d-3747244/diwakili-menko-puan-indonesia-teken-6-mou-dengan-tiongkok,DETIKNEWS | Selasa 28 November 2017| 20:55 WIB
Sempat Alot| Dana Hibah DPD DKI Rp 1|5 Miliar Akhirnya Dihapus,https://news.detik.com/berita/d-3747243/sempat-alot-dana-hibah-dpd-dki-rp-15-miliar-akhirnya-dihapus,DETIKNEWS | Selasa 28 November 2017| 20:52 WIB
Dasep Ngamuk dan Bacok Istrinya di Garut,https://news.detik.com/berita-jawa-barat/d-3747238/dasep-ngamuk-dan-bacok-istrinya-di-garut,DETIKNEWS | Selasa 28 November 2017| 20:47 WIB
Kapolda Bali: Jangan Sebar Hoax soal Gunung Agung!,https://news.detik.com/berita/d-3747236/kapolda-bali-jangan-sebar-hoax-soal-gunung-agung,DETIKNEWS | Selasa 28 November 2017| 20:45 WIB
Cuaca Buruk| Pencarian 1 Korban Longsor di Yogya Dihentikan Sementara,https://news.detik.com/berita-jawa-tengah/d-3747234/cuaca-buruk-pencarian-1-korban-longsor-di-yogya-dihentikan-sementara,DETIKNEWS | Selasa 28 November 2017| 20:45 WIB
OTT Anggota DPRD dan Pejabat Pemprov Jambi Terkait APBD 2018,https://news.detik.com/berita/d-3747237/ott-anggota-dprd-dan-pejabat-pemprov-jambi-terkait-apbd-2018,DETIKNEWS | Selasa 28 November 2017| 20:40 WIB
Banjir Genangi Beberapa Wilayah Bantul,https://news.detik.com/berita-jawa-tengah/d-3747232/banjir-genangi-beberapa-wilayah-bantul,DETIKNEWS | Selasa 28 November 2017| 20:37 WIB
Bareskrim Kembali Periksa Bos Saracen Terkait Akses Ilegal,https://news.detik.com/berita/d-3747239/bareskrim-kembali-periksa-bos-saracen-terkait-akses-ilegal,DETIKNEWS | Selasa 28 November 2017| 20:36 WIB
