title, link, date
Ini Mobil Listrik yang akan Dijajal Jokowi Saat Peresmian Tol Sumo,https://news.detik.com/berita/d-3775701/ini-mobil-listrik-yang-akan-dijajal-jokowi-saat-peresmian-tol-sumo,DETIKNEWS | Senin 18 Desember 2017| 23:04 WIB
Ical: Golkar Hebat| Mau Ribut-ribut Nanti Bersatu Lagi,https://news.detik.com/berita/d-3775699/ical-golkar-hebat-mau-ribut-ribut-nanti-bersatu-lagi,DETIKNEWS | Senin 18 Desember 2017| 22:36 WIB
Ketika Jokowi Bicara Persaingan PDIP dan Golkar di Hadapan Megawati,https://news.detik.com/detiktv/d-3775679/ketika-jokowi-bicara-persaingan-pdip-dan-golkar-di-hadapan-megawati,DETIKNEWS | Senin 18 Desember 2017| 22:35 WIB
Paparkan Hasil Kajian Kelistrikan| KPK Minta PLN Perbaiki 5 Hal Ini,https://news.detik.com/berita/d-3775697/paparkan-hasil-kajian-kelistrikan-kpk-minta-pln-perbaiki-5-hal-ini,DETIKNEWS | Senin 18 Desember 2017| 22:33 WIB
Paspampres Sempat Larang Ketua Golkar Sultra Masuk Arena Munaslub,https://news.detik.com/berita/d-3775694/paspampres-sempat-larang-ketua-golkar-sultra-masuk-arena-munaslub,DETIKNEWS | Senin 18 Desember 2017| 22:32 WIB
Jokowi Ungkap Grup-grup Besar di Golkar,https://news.detik.com/detiktv/d-3775680/jokowi-ungkap-grup-grup-besar-di-golkar,DETIKNEWS | Senin 18 Desember 2017| 22:30 WIB
Harus Member| Pembeli Sabu Diskotek MG Wajib Bayar Rp 600 Ribu,https://news.detik.com/berita/d-3775692/harus-member-pembeli-sabu-diskotek-mg-wajib-bayar-rp-600-ribu,DETIKNEWS | Senin 18 Desember 2017| 22:26 WIB
Airlangga Takkan Biarkan Golkar Menjadi yang Ketiga,https://news.detik.com/detiktv/d-3775678/airlangga-takkan-biarkan-golkar-menjadi-yang-ketiga,DETIKNEWS | Senin 18 Desember 2017| 22:25 WIB
Ini Peran 5 Tersangka Lab Sabu Liquid di Diskotek MG,https://news.detik.com/berita/d-3775684/ini-peran-5-tersangka-lab-sabu-liquid-di-diskotek-mg,DETIKNEWS | Senin 18 Desember 2017| 22:21 WIB
Gelora Tepuk Tangan dari Peserta Munaslub untuk Jokowi,https://news.detik.com/berita/d-3775681/gelora-tepuk-tangan-dari-peserta-munaslub-untuk-jokowi,DETIKNEWS | Senin 18 Desember 2017| 22:21 WIB
Pemprov DKI akan Sediakan Shelter Ojek Online di Tanah Abang,https://news.detik.com/berita/d-3775683/pemprov-dki-akan-sediakan-shelter-ojek-online-di-tanah-abang,DETIKNEWS | Senin 18 Desember 2017| 22:18 WIB
Izin Diskotek MG Resmi Dicabut,https://news.detik.com/berita/d-3775682/izin-diskotek-mg-resmi-dicabut,DETIKNEWS | Senin 18 Desember 2017| 22:12 WIB
Beda dari Akbar Tandjung| Ical: Airlangga Jabat Ketum sampai 2019,https://news.detik.com/berita/d-3775677/beda-dari-akbar-tandjung-ical-airlangga-jabat-ketum-sampai-2019,DETIKNEWS | Senin 18 Desember 2017| 22:09 WIB
Polisi Tahan 8 dari 12 Terduga Teroris Sumsel di Mako Brimob Depok,https://news.detik.com/berita/d-3775675/polisi-tahan-8-dari-12-terduga-teroris-sumsel-di-mako-brimob-depok,DETIKNEWS | Senin 18 Desember 2017| 22:07 WIB
Megawati Hadiri Munaslub Golkar,https://news.detik.com/foto-news/d-3775665/megawati-hadiri-munaslub-golkar,DETIKPHOTO | Senin 18 Desember 2017| 22:06 WIB
Munaslub Golkar| Akbar Tandjung-Titiek Soeharto Jadi Sasaran Selfie,https://news.detik.com/berita/d-3775664/munaslub-golkar-akbar-tandjung-titiek-soeharto-jadi-sasaran-selfie,DETIKNEWS | Senin 18 Desember 2017| 22:04 WIB
Bupati Pamekasan Non Aktif Divonis 2 Tahun 8 Bulan Penjara,https://news.detik.com/berita-jawa-timur/d-3775656/bupati-pamekasan-non-aktif-divonis-2-tahun-8-bulan-penjara,DETIKNEWS | Senin 18 Desember 2017| 21:51 WIB
Soal Posisi Airlangga di Kabinet| Jokowi: Tunggu Munaslub,https://news.detik.com/berita/d-3775662/soal-posisi-airlangga-di-kabinet-jokowi-tunggu-munaslub,DETIKNEWS | Senin 18 Desember 2017| 21:42 WIB
Bertemu CEO Go-Jek| Sandi Bahas Kerja Sama Berdayakan UMKM,https://news.detik.com/berita/d-3775657/bertemu-ceo-go-jek-sandi-bahas-kerja-sama-berdayakan-umkm,DETIKNEWS | Senin 18 Desember 2017| 21:42 WIB
Akbar Minta Golkar Tetapkan Masa Kepemimpinan Airlangga hingga 2022,https://news.detik.com/berita/d-3775648/akbar-minta-golkar-tetapkan-masa-kepemimpinan-airlangga-hingga-2022,DETIKNEWS | Senin 18 Desember 2017| 21:38 WIB
Blak-blakan soal Grup di Golkar| Jokowi: Saya Hanya Mengamati,https://news.detik.com/berita/d-3775647/blak-blakan-soal-grup-di-golkar-jokowi-saya-hanya-mengamati,DETIKNEWS | Senin 18 Desember 2017| 21:37 WIB
Jokowi: Golkar Harus Seperti Beringin| Berbatang Satu dan Kokoh,https://news.detik.com/berita/d-3775640/jokowi-golkar-harus-seperti-beringin-berbatang-satu-dan-kokoh,DETIKNEWS | Senin 18 Desember 2017| 21:33 WIB
Presiden Jokowi Buka Munaslub Golkar,https://news.detik.com/foto-news/d-3775630/presiden-jokowi-buka-munaslub-golkar,DETIKPHOTO | Senin 18 Desember 2017| 21:32 WIB
Komisioner Ombudsman Temui Nur Alam| Minta Dukungan di Pilgub Sultra,https://news.detik.com/berita/d-3775641/komisioner-ombudsman-temui-nur-alam-minta-dukungan-di-pilgub-sultra,DETIKNEWS | Senin 18 Desember 2017| 21:31 WIB
Seperti Ini Kondisi Jenazah Korban Tebing Longsor di Magelang,https://news.detik.com/berita-jawa-tengah/d-3775628/seperti-ini-kondisi-jenazah-korban-tebing-longsor-di-magelang,DETIKNEWS | Senin 18 Desember 2017| 21:28 WIB
Rumah Terbakar di Tambora Jakbar| 16 Mobil Damkar Dikerahkan,https://news.detik.com/berita/d-3775638/rumah-terbakar-di-tambora-jakbar-16-mobil-damkar-dikerahkan,DETIKNEWS | Senin 18 Desember 2017| 21:26 WIB
Jepret! Jokowi-JK Pose Bareng Ketua DPD I Golkar Se-Indonesia,https://news.detik.com/berita/d-3775627/jepret-jokowi-jk-pose-bareng-ketua-dpd-i-golkar-se-indonesia,DETIKNEWS | Senin 18 Desember 2017| 21:25 WIB
Jokowi Blak-blakan soal 'Grup' JK| Ical| hingga Luhut di Golkar,https://news.detik.com/berita/d-3775623/jokowi-blak-blakan-soal-grup-jk-ical-hingga-luhut-di-golkar,DETIKNEWS | Senin 18 Desember 2017| 21:17 WIB
Jokowi: Saingan Berat Golkar Hanya PDIP,https://news.detik.com/berita/d-3775621/jokowi-saingan-berat-golkar-hanya-pdip,DETIKNEWS | Senin 18 Desember 2017| 21:16 WIB
Tak Dengar Peringatan Warga| Pria Tersambar KRL di Pasar Minggu,https://news.detik.com/berita/d-3775622/tak-dengar-peringatan-warga-pria-tersambar-krl-di-pasar-minggu,DETIKNEWS | Senin 18 Desember 2017| 21:08 WIB
Pukul Jimbe| Presiden Jokowi Resmi Buka Munaslub Golkar,https://news.detik.com/berita/d-3775617/pukul-jimbe-presiden-jokowi-resmi-buka-munaslub-golkar,DETIKNEWS | Senin 18 Desember 2017| 21:05 WIB
Puncak Arus Mudik Libur Natal-Tahun Baru Diprediksi 22 Desember,https://news.detik.com/berita/d-3775619/puncak-arus-mudik-libur-natal-tahun-baru-diprediksi-22-desember,DETIKNEWS | Senin 18 Desember 2017| 21:05 WIB
Cerita Jokowi Terima Aspirasi DPD I Golkar soal Airlangga Jadi Ketum,https://news.detik.com/berita/d-3775614/cerita-jokowi-terima-aspirasi-dpd-i-golkar-soal-airlangga-jadi-ketum,DETIKNEWS | Senin 18 Desember 2017| 21:04 WIB
Kemensos akan Cek Kebenaran Nenek Meninggal Diduga Kelaparan,https://news.detik.com/berita-jawa-timur/d-3775611/kemensos-akan-cek-kebenaran-nenek-meninggal-diduga-kelaparan,DETIKNEWS | Senin 18 Desember 2017| 21:03 WIB
Singgung PDIP| Airlangga Bahas Filosofi Warna Merah dan Kuning,https://news.detik.com/berita/d-3775613/singgung-pdip-airlangga-bahas-filosofi-warna-merah-dan-kuning,DETIKNEWS | Senin 18 Desember 2017| 21:02 WIB
Umpat Polisi di Medsos Karena Ditilang| Perempuan ini Diamankan,https://news.detik.com/berita-jawa-timur/d-3775608/umpat-polisi-di-medsos-karena-ditilang-perempuan-ini-diamankan,DETIKNEWS | Senin 18 Desember 2017| 21:01 WIB
Presiden Jokowi: Partai Golkar Harus Solid,https://news.detik.com/berita/d-3775615/presiden-jokowi-partai-golkar-harus-solid,DETIKNEWS | Senin 18 Desember 2017| 20:59 WIB
KPK Harap Setya Novanto Terbuka Sebut Pihak Lain di Kasus e-KTP,https://news.detik.com/berita/d-3775618/kpk-harap-setya-novanto-terbuka-sebut-pihak-lain-di-kasus-e-ktp,DETIKNEWS | Senin 18 Desember 2017| 20:59 WIB
Divonis 1 Tahun Bui di Kasus Ujaran Kebencian| Sri Rahayu Banding,https://news.detik.com/berita/d-3775612/divonis-1-tahun-bui-di-kasus-ujaran-kebencian-sri-rahayu-banding,DETIKNEWS | Senin 18 Desember 2017| 20:56 WIB
Jokowi: Saya Sempat Was-was Golkar Panas| Ternyata Hangat-hangat Kuku,https://news.detik.com/berita/d-3775607/jokowi-saya-sempat-was-was-golkar-panas-ternyata-hangat-hangat-kuku,DETIKNEWS | Senin 18 Desember 2017| 20:50 WIB
